date,week,dow,status,total,in,out,101065252,102065252,353242902,353242904
2020-11-12,46,4,32,232,126,106,126,106,0,0
2020-11-13,46,5,32,385,167,218,167,218,0,0
2020-11-14,46,6,33,298,120,178,120,178,0,0
2020-11-15,46,7,33,155,71,84,71,84,0,0
2020-11-16,47,1,32,380,193,187,193,187,0,0
2020-11-17,47,2,32,518,243,275,243,275,0,0
2020-11-18,47,3,32,528,256,272,256,272,0,0
2020-11-19,47,4,32,368,169,199,169,199,0,0
2020-11-20,47,5,32,344,160,184,160,184,0,0
2020-11-21,47,6,33,298,136,162,136,162,0,0
2020-11-22,47,7,33,214,88,126,88,126,0,0
2020-11-23,48,1,32,456,221,235,221,235,0,0
2020-11-24,48,2,32,517,240,277,240,277,0,0
2020-11-25,48,3,32,457,218,239,218,239,0,0
2020-11-26,48,4,32,444,207,237,207,237,0,0
2020-11-27,48,5,32,413,189,224,189,224,0,0
2020-11-28,48,6,33,369,168,201,168,201,0,0
2020-11-29,48,7,33,184,86,98,86,98,0,0
2020-11-30,49,1,32,413,194,219,20,172,174,47
2020-12-01,49,2,32,310,143,167,25,131,118,36
2020-12-02,49,3,32,398,189,209,15,164,174,45
2020-12-03,49,4,32,475,233,242,14,175,219,67
2020-12-04,49,5,32,205,101,104,26,81,75,23
2020-12-05,49,6,33,105,52,53,11,43,41,10
2020-12-06,49,7,33,151,63,88,12,71,51,17
2020-12-07,50,1,32,380,187,193,22,148,165,45
2020-12-08,50,2,32,442,209,233,27,185,182,48
2020-12-09,50,3,32,311,159,152,27,123,132,29
2020-12-10,50,4,32,421,208,213,22,184,186,29
2020-12-11,50,5,32,303,131,172,21,138,110,34
2020-12-12,50,6,33,71,30,41,7,31,23,10
2020-12-13,50,7,33,124,57,67,12,58,45,9
2020-12-14,51,1,32,461,223,238,20,196,203,42
2020-12-15,51,2,32,327,186,141,39,107,147,34
2020-12-16,51,3,,484,239,245,34,209,205,36
2020-12-17,51,4,,418,199,219,19,142,180,77
2020-12-18,51,5,,411,200,211,22,175,178,36
2020-12-19,51,6,5,259,120,139,19,127,101,12
2020-12-20,51,7,5,92,42,50,9,46,33,4
2020-12-21,52,1,4,237,112,125,11,115,101,10
2020-12-22,52,2,4,378,174,204,21,187,153,17
2020-12-23,52,3,4,332,168,164,28,135,140,29
2020-12-24,52,4,4,151,75,76,12,73,63,3
2020-12-25,52,5,6,23,10,13,4,11,6,2
2020-12-26,52,6,5,89,44,45,7,43,37,2
2020-12-27,52,7,5,100,42,58,8,54,34,4
2020-12-28,53,1,4,199,100,99,21,92,79,7
2020-12-29,53,2,,228,112,116,30,113,82,3
